"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1998","AT","Austria",113.000000000,""
"Pertussis","All cases","Reported cases","N","1998","DK","Denmark",344.000000000,""
"Pertussis","All cases","Reported cases","N","1998","EL","Greece",85.000000000,""
"Pertussis","All cases","Reported cases","N","1998","ES","Spain",106.000000000,""
"Pertussis","All cases","Reported cases","N","1998","EU_EEA31","EU/EEA",15206.000000000,""
"Pertussis","All cases","Reported cases","N","1998","FR","France",180.000000000,""
"Pertussis","All cases","Reported cases","N","1998","IE","Ireland",248.000000000,""
"Pertussis","All cases","Reported cases","N","1998","IS","Iceland",3.000000000,""
"Pertussis","All cases","Reported cases","N","1998","IT","Italy",6981.000000000,""
"Pertussis","All cases","Reported cases","N","1998","LT","Lithuania",96.000000000,""
"Pertussis","All cases","Reported cases","N","1998","MT","Malta",4.000000000,""
"Pertussis","All cases","Reported cases","N","1998","NL","Netherlands",2572.000000000,""
"Pertussis","All cases","Reported cases","N","1998","NO","Norway",2310.000000000,""
"Pertussis","All cases","Reported cases","N","1998","PT","Portugal",9.000000000,""
"Pertussis","All cases","Reported cases","N","1998","SE","Sweden",1769.000000000,""
"Pertussis","All cases","Reported cases","N","1998","UK","United Kingdom",386.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-01","DK","Denmark",19.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","EL","Greece",2.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","ES","Spain",10.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","EU_EEA31","EU/EEA",1239.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","FR","France",20.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","IE","Ireland",41.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","IS","Iceland",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","IT","Italy",481.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-01","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-01","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-01","NO","Norway",399.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","PT","Portugal",2.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","SE","Sweden",224.000000000,""
"Pertussis","All cases","Reported cases","N","1998-01","UK","United Kingdom",40.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-02","DK","Denmark",8.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","EL","Greece",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","ES","Spain",10.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","EU_EEA31","EU/EEA",1075.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","FR","France",12.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","IE","Ireland",37.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","IT","Italy",530.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-02","MT","Malta",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-02","NO","Norway",277.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","SE","Sweden",181.000000000,""
"Pertussis","All cases","Reported cases","N","1998-02","UK","United Kingdom",19.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-03","DK","Denmark",13.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","EL","Greece",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","ES","Spain",7.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","EU_EEA31","EU/EEA",1086.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","FR","France",30.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","IE","Ireland",21.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","IT","Italy",632.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-03","MT","Malta",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-03","NO","Norway",210.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","SE","Sweden",150.000000000,""
"Pertussis","All cases","Reported cases","N","1998-03","UK","United Kingdom",22.000000000,""
"Pertussis","All cases","Reported cases","N","1998-04","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-04","DK","Denmark",14.000000000,""
"Pertussis","All cases","Reported cases","N","1998-04","EL","Greece",1.000000000,""
